          MJD  MJDbin         uJy       duJy       stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 57333.265705 57333.5   -8.076873  13.774989     2.12132  0.011827      0      2          2 0x800000 19.859469      NaN
          NaN 57334.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57335.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57336.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57337.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57338.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57339.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57340.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57341.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57342.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57343.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57344.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57345.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57346.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57347.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57348.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57349.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57350.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57351.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57352.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57353.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57354.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57355.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57356.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57357.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57358.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57359.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57360.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57361.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57362.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57363.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57364.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57365.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57366.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57367.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57368.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57369.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
  57370.19523 57370.5        28.5       57.0         NaN       NaN      0      1          1 0x800000 18.150143      NaN
          NaN 57371.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57372.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57373.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57374.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57375.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57376.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57377.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57378.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57379.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57380.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57381.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57382.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57383.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57384.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57385.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57386.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57387.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57388.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57389.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57390.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57391.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57392.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57393.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57394.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57395.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57396.5         NaN        NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
