          MJD  MJDbin            uJy           duJy         stdev        x2  Nclip  Ngood  Nexcluded     Mask         m      dm
 57303.294341 57303.5       0.483066      15.368092     18.556221  0.476037      0      3          3 0x800000 19.729330     NaN
          NaN 57304.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57305.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57306.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57307.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57308.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57309.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57310.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57311.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57312.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57313.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57314.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57315.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57316.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57317.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57318.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57319.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57320.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
 57321.289353 57321.5     -10.926619       35.25637     58.844428  0.731861      0      4          4 0x800000 18.839103     NaN
          NaN 57322.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57323.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57324.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57325.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57326.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57327.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57328.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
 57329.275891 57329.5      -1.831241      23.183753     43.500958    1.0166      0      3          3 0x800000 19.294238     NaN
          NaN 57330.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57331.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57332.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57333.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57334.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57335.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57336.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57337.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57338.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57339.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57340.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57341.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57342.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57343.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57344.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57345.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57346.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57347.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57348.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57349.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57350.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57351.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57352.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57353.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57354.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57355.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57356.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57357.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57358.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57359.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57360.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57361.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57362.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57363.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57364.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57365.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57366.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57367.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57368.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57369.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57370.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57371.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57372.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57373.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57374.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57375.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57376.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57377.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57378.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57379.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57380.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57381.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57382.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57383.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57384.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57385.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57386.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57387.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57388.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57389.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57390.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57391.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57392.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57393.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57394.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57395.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57396.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57397.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57398.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57399.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57400.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57401.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57402.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57403.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57404.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57405.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57406.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57407.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57408.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57409.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57410.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57411.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57412.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57413.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57414.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57415.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57416.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57417.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57418.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57419.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57420.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57421.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57422.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57423.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57424.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57425.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57426.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57427.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
          NaN 57428.5            NaN            NaN           NaN       NaN      0      0          0 0x800000       NaN     NaN
